Pixel-X	Pixel-Y	Longitude	Latitude	radiance_1	radiance_2	radiance_3	radiance_4	radiance_5	radiance_6	radiance_7	radiance_8	radiance_9	radiance_10	radiance_11	radiance_12	radiance_13	radiance_14	radiance_15	l1_flags	detector_index	latitude	longitude	dem_alt	dem_rough	lat_corr	lon_corr	sun_zenith	sun_azimuth	view_zenith	view_azimuth	zonal_wind	merid_wind	atm_press	ozone	rel_hum
525.5	246.5	-57.10325	12.281899	66.541794	57.099724	40.41773	32.481033	20.020765	12.08567	9.285989	8.332503	6.933561	5.3894024	2.4223151	4.5153384	2.8434732	2.624598	1.9930152	0	495	12.281899	-57.10325	-4471.961	0.0	0.0	0.0	44.76698	142.81534	2.9778106	102.49749	-7.592969	-4.2937503	1015.2625	239.12639	61.19297
526.5	246.5	-57.09391	12.279869	66.59864	57.18455	40.510403	32.566677	20.142046	12.2494335	9.402407	8.450449	7.053431	5.519372	2.457807	4.6243167	2.935886	2.7466724	2.0527513	0	494	12.279869	-57.09391	-4471.1406	0.0	0.0	0.0	44.759846	142.8234	2.8929167	102.49965	-7.5953126	-4.3	1015.2625	239.14343	61.195316
520.5	247.5	-57.15227	12.28161	66.77866	57.23757	40.545155	32.58809	20.104729	12.200304	9.333925	8.394945	6.990341	5.4500546	2.440061	4.5516644	2.871908	2.6795316	1.9984457	0	500	12.28161	-57.15227	-4476.9062	0.0	0.0	0.0	44.795296	142.76704	3.4022796	102.48655	-7.578125	-4.28125	1015.2562	239.06812	61.22813
521.5	247.5	-57.14294	12.279579	66.64602	57.15274	40.429314	32.51315	20.030094	12.08567	9.251749	8.325565	6.9083247	5.372073	2.4134424	4.4935427	2.811484	2.6123905	1.971293	0	499	12.279579	-57.14294	-4476.1367	0.0	0.0	0.0	44.788162	142.7751	3.317386	102.48871	-7.5808597	-4.2875	1015.2562	239.08508	61.23086
522.5	247.5	-57.133606	12.27755	66.66497	57.20576	40.47565	32.545265	20.08607	12.159364	9.306533	8.360255	6.9651055	5.424061	2.440061	4.5371337	2.8576906	2.6551166	2.009307	0	498	12.27755	-57.133606	-4475.367	0.0	0.0	0.0	44.78103	142.78316	3.2324917	102.49087	-7.583594	-4.2937503	1015.2562	239.10204	61.233597
516.5	248.5	-57.191963	12.279291	66.90184	57.35421	40.626247	32.673733	20.170034	12.216681	9.375014	8.443511	7.0155773	5.4587193	2.440061	4.580725	2.886125	2.685635	2.0255985	0	504	12.279291	-57.191963	-4480.625	0.0	0.0	0.0	44.816486	142.72682	3.7418544	102.47779	-7.5625	-4.275	1015.25	239.0275	61.2625
517.5	248.5	-57.18263	12.277261	66.85446	57.279984	40.59149	32.630913	20.114058	12.216681	9.368166	8.422697	6.990341	5.4587193	2.431188	4.562562	2.871908	2.6734278	2.009307	0	503	12.277261	-57.18263	-4479.9062	0.0	0.0	0.0	44.809345	142.73488	3.6569605	102.47994	-7.565625	-4.28125	1015.25	239.04436	61.265625
518.5	248.5	-57.17329	12.27523	66.82604	57.216362	40.521988	32.545265	20.0954	12.1511755	9.306533	8.346379	6.9587965	5.3894024	2.440061	4.518971	2.8434732	2.642909	1.9984457	0	502	12.27523	-57.17329	-4479.1875	0.0	0.0	0.0	44.802216	142.74294	3.572067	102.4821	-7.5687504	-4.2875	1015.25	239.06123	61.26875
519.5	248.5	-57.16396	12.2732	66.85446	57.258778	40.498817	32.6095	20.132717	12.208492	9.368166	8.422697	6.990341	5.44139	2.431188	4.5698276	2.886125	2.6978426	2.0147374	0	501	12.2732	-57.16396	-4478.4688	0.0	0.0	0.0	44.795074	142.751	3.487173	102.48426	-7.571875	-4.2937503	1015.25	239.07811	61.271877
513.5	249.5	-57.22231	12.2749405	66.987114	57.39662	40.603077	32.68444	20.132717	12.1839285	9.313381	8.381069	6.9714146	5.4327254	2.448934	4.548032	2.8790166	2.642909	2.009307	0	507	12.2749405	-57.22231	-4483.2695	0.0	0.0	0.0	44.830544	142.69467	3.9965358	102.4712	-7.5472655	-4.275	1015.2438	239.00429	61.297268
514.5	249.5	-57.212975	12.27291	67.04396	57.470848	40.69575	32.727264	20.23534	12.241245	9.402407	8.436573	7.0218863	5.4673843	2.4755528	4.602521	2.9003425	2.6917388	2.0038764	0	506	12.27291	-57.212975	-4482.6016	0.0	0.0	0.0	44.823406	142.70273	3.911642	102.47335	-7.5507812	-4.2812505	1015.2438	239.02109	61.30078
515.5	249.5	-57.203644	12.270881	67.09134	57.50266	40.707336	32.727264	20.179363	12.257622	9.409254	8.464325	7.0218863	5.476049	2.440061	4.595256	2.8932338	2.6795316	2.020168	0	505	12.270881	-57.203644	-4481.9336	0.0	0.0	0.0	44.81627	142.71078	3.826748	102.47551	-7.5542965	-4.2875004	1015.2438	239.03789	61.3043
509.5	250.5	-57.262005	12.272607	67.15766	57.492054	40.71892	32.770084	20.21668	12.2494335	9.375014	8.436573	7.0218863	5.4500546	2.457807	4.5516644	2.861245	2.685635	1.9984457	0	511	12.272607	-57.262005	-4489.1797	0.0	0.0	0.0	44.85178	142.65456	4.335388	102.46271	-7.5375004	-4.2617188	1015.2492	238.96365	61.325783
510.5	250.5	-57.252666	12.270581	67.129234	57.492054	40.637833	32.716557	20.114058	12.17574	9.306533	8.360255	6.9524875	5.372073	2.448934	4.500808	2.8292558	2.6307018	1.9658624	0	510	12.270581	-57.252666	-4487.578	0.0	0.0	0.0	44.84463	142.66258	4.2507353	102.46478	-7.5375004	-4.2703123	1015.2453	238.98077	61.32969
511.5	250.5	-57.24333	12.268557	67.006065	57.407227	40.59149	32.630913	20.08607	12.08567	9.27914	8.332503	6.8957067	5.3374147	2.431188	4.4826446	2.7972667	2.6123905	1.9875847	0	509	12.268557	-57.24333	-4485.9766	0.0	0.0	0.0	44.837486	142.67061	4.1660824	102.46685	-7.5375004	-4.2789063	1015.2414	238.99788	61.333595
512.5	250.5	-57.233994	12.266531	67.04396	57.36481	40.55674	32.598793	20.08607	12.126612	9.251749	8.339441	6.9083247	5.3634086	2.440061	4.479012	2.811484	2.6123905	1.9658624	0	508	12.266531	-57.233994	-4484.375	0.0	0.0	0.0	44.830334	142.67863	4.0814295	102.468925	-7.5375	-4.2875	1015.2375	239.01498	61.3375
